transaction_id,customer_id,transaction_date,product_id,quantity,price_per_unit,total_amount,payment_method,transaction_status,transaction_source,purchase_category,region,created_at,updated_at
1001,101,3/1/2025,501,3,25.5,76.5,Credit Card,Completed,Online,Electronics,North,3/1/2025 8:15,3/1/2025 8:30
1002,102,3/2/2025,502,1,99.99,99.99,PayPal,Completed,Mobile App,Clothing,South,3/2/2025 9:00,3/2/2025 9:05
1003,103,3/3/2025,503,2,45,90,Debit Card,Failed,Website,Furniture,East,3/3/2025 10:05,3/3/2025 10:10
1004,104,3/4/2025,504,5,18,90,Credit Card,Completed,Online,Electronics,West,3/4/2025 11:00,3/4/2025 11:15
1005,105,3/5/2025,505,3,22.75,68.25,Credit Card,Completed,Website,Home Goods,North,3/5/2025 12:15,3/5/2025 12:25
1006,106,3/6/2025,506,1,180,180,PayPal,Completed,Mobile App,Clothing,South,3/6/2025 13:20,3/6/2025 13:30
1007,107,3/7/2025,507,4,55,220,Debit Card,Pending,Website,Furniture,East,3/7/2025 14:25,3/7/2025 14:30
1008,108,3/8/2025,508,2,75,150,Credit Card,Completed,Online,Electronics,West,3/8/2025 15:30,3/8/2025 15:45
1009,109,3/9/2025,509,3,30,90,PayPal,Completed,Mobile App,Home Goods,North,3/9/2025 16:00,3/9/2025 16:15
1010,110,3/10/2025,510,6,12,72,Credit Card,Failed,Website,Home Goods,South,3/10/2025 17:05,3/10/2025 17:15
1011,111,3/11/2025,511,3,45.5,136.5,Credit Card,Completed,Online,Electronics,North,3/11/2025 18:00,3/11/2025 18:15
1012,112,3/12/2025,512,4,19.5,78,PayPal,Completed,Mobile App,Clothing,South,3/12/2025 19:10,3/12/2025 19:20
1013,113,3/13/2025,513,2,100,200,Debit Card,Completed,Website,Furniture,East,3/13/2025 20:10,3/13/2025 20:20
1014,114,3/14/2025,514,1,150,150,Credit Card,Completed,Online,Electronics,West,3/14/2025 21:00,3/14/2025 21:15
1015,115,3/15/2025,515,5,23,115,PayPal,Failed,Mobile App,Home Goods,North,3/15/2025 22:00,3/15/2025 22:05
1016,116,3/16/2025,516,2,60,120,Debit Card,Completed,Website,Furniture,East,3/16/2025 23:00,3/16/2025 23:15
1017,117,3/17/2025,517,3,35,105,Credit Card,Completed,Online,Electronics,West,3/17/2025 0:10,3/17/2025 0:20
1018,118,3/18/2025,518,4,55,220,PayPal,Completed,Mobile App,Clothing,South,3/18/2025 1:15,3/18/2025 1:30
1019,119,3/19/2025,519,2,85,170,Debit Card,Pending,Website,Furniture,East,3/19/2025 2:00,3/19/2025 2:10
1020,120,3/20/2025,520,3,40,120,Credit Card,Completed,Online,Electronics,West,3/20/2025 3:05,3/20/2025 3:15
